iteration,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,target
1,0.0,0.75,0.0,0.75,0.25,3.4000000000000004,0.5,0.5,0.25,0.0,0.15
2,0.0,0.75,0.25,0.0,0.75,2.0,0.25,0.25,0.5,0.5,0.22
3,0.5,0.25,0.25,0.25,0.25,1.4,0.0,1.0,1.0,0.0,0.01
4,0.0,0.0,0.75,0.75,0.0,3.2,0.0,0.5,0.5,1.0,0.01
5,0.0,0.5,0.5,0.5,0.0,2.8,0.75,0.25,0.5,0.25,0.03
6,0.75,0.25,0.0,0.0,0.0,2.0,0.75,0.5,0.75,0.5,0.02
7,0.5,0.5,0.75,0.5,0.5,1.2,0.25,0.0,0.25,0.5,0.04
8,0.0,0.0,0.25,0.25,0.75,2.4000000000000004,0.5,0.5,0.5,0.75,0.03
9,1.0,0.0,0.75,0.25,0.0,2.4000000000000004,0.5,1.0,0.25,0.0,0.0
10,0.75,0.0,0.25,0.75,0.25,2.6,0.75,0.0,0.5,0.25,0.06
11,0.75,0.5,0.0,0.0,0.25,3.8000000000000003,0.25,0.25,0.75,0.75,0.18
12,0.25,0.5,0.25,0.0,0.25,3.6,0.5,0.75,0.5,0.5,0.07
13,0.5,0.5,0.5,0.75,0.25,1.2,0.0,0.0,0.25,0.5,0.04
14,0.0,0.5,1.0,0.25,0.0,1.8,0.0,1.0,0.25,0.25,0.0
15,0.5,0.5,0.25,0.5,0.0,4.800000000000001,0.25,0.0,0.5,0.5,0.15
16,0.75,0.0,0.5,0.25,0.5,1.8,0.0,0.5,0.25,0.75,0.02
17,0.25,0.25,0.5,0.25,0.75,4.0,0.25,0.0,0.5,0.5,0.09
18,0.75,1.0,0.0,0.25,0.25,2.2,0.25,0.25,0.5,0.25,0.2
19,0.0,0.25,0.0,0.25,0.5,3.4000000000000004,0.75,0.5,0.5,0.5,0.09
20,0.5,0.5,0.5,0.5,0.25,4.0,0.5,0.25,0.0,0.0,0.11
21,0.25,0.0,0.0,0.0,0.25,2.2,0.75,1.0,0.75,0.0,0.02
22,0.5,0.5,0.25,0.5,0.25,1.6,0.5,0.75,0.5,0.0,0.05
23,0.0,0.75,0.75,0.5,0.5,1.4,0.75,0.0,0.0,0.25,0.02
24,0.0,0.75,0.0,0.5,0.5,4.0,0.5,0.75,0.25,0.25,0.15
25,0.25,0.75,0.25,0.75,0.0,1.8,0.5,0.0,0.0,0.75,0.39
26,0.25,0.0,0.75,0.5,0.5,4.4,0.5,0.25,0.0,0.5,0.04
27,0.5,0.5,0.0,0.5,0.75,2.0,0.0,0.25,0.25,0.75,0.26
28,0.5,0.75,0.5,0.5,0.25,2.4000000000000004,0.75,0.0,0.0,0.0,0.12
29,0.75,0.25,0.25,0.25,0.0,2.6,1.0,0.5,0.5,0.0,0.02
30,0.25,0.0,0.0,0.75,0.75,4.2,0.0,0.25,0.75,0.25,0.21
31,1.0,1.0,0.0,0.25,0.5,2.2,0.25,0.25,0.25,0.0,0.13
32,0.75,1.0,0.0,0.75,0.5,1.0,0.0,0.5,0.0,0.25,0.09
33,0.0,0.75,0.25,0.0,0.75,4.800000000000001,0.5,0.0,0.5,0.25,0.74
34,0.5,0.5,0.5,0.5,0.5,2.8,0.25,0.0,0.25,0.5,0.13
35,0.0,0.5,0.5,0.0,0.5,3.6,0.75,0.25,0.5,0.5,0.05
36,0.25,0.0,0.25,0.5,0.25,4.4,0.25,0.75,0.25,0.5,0.05
37,0.75,0.5,0.5,0.25,0.5,1.2,0.5,0.5,0.25,0.0,0.06
38,0.25,0.0,0.25,0.5,0.5,4.6,0.25,0.5,0.25,0.75,0.05
39,0.0,0.5,0.5,0.25,0.5,4.2,0.5,0.25,0.25,0.5,0.16
40,0.0,0.5,0.25,0.25,0.5,4.800000000000001,0.5,0.5,0.0,0.75,0.05
41,0.25,1.0,0.5,0.75,0.75,1.2,0.25,0.0,0.0,0.25,0.08
42,0.75,0.0,0.0,0.75,0.25,2.8,0.5,0.75,0.0,0.0,0.08
43,0.25,0.75,0.75,0.0,0.5,2.6,0.75,0.25,0.25,0.0,0.04
44,0.75,0.0,0.25,0.25,1.0,1.2,0.25,0.75,0.0,0.5,0.02
45,0.5,0.0,0.5,0.25,0.25,4.800000000000001,0.75,0.5,0.25,0.0,0.02
46,0.75,0.25,0.5,0.5,0.75,1.6,0.0,0.75,0.0,0.25,0.01
47,0.0,0.25,0.0,1.0,0.75,1.8,0.5,0.5,0.0,0.25,0.07
48,0.75,0.0,0.25,0.25,0.0,4.0,0.25,0.5,0.5,0.75,0.02
49,0.5,0.25,0.0,0.25,0.0,1.2,0.75,0.5,0.75,0.75,0.03
50,0.25,0.5,0.75,0.75,0.0,4.6,0.25,0.0,0.25,0.25,0.09
51,0.5,0.5,0.25,0.5,0.25,1.2,0.25,0.5,0.5,0.5,0.04
52,0.0,0.5,0.75,0.0,0.5,1.6,0.5,0.75,0.0,0.5,0.01
53,0.25,1.0,0.0,0.75,0.25,2.4000000000000004,0.0,0.75,0.0,0.25,0.18
54,0.25,0.25,0.25,0.75,0.5,4.0,0.0,0.5,0.0,0.0,0.06
55,0.25,0.25,0.5,0.25,0.0,2.4000000000000004,0.5,0.75,0.75,0.25,0.01
56,1.0,0.25,0.75,0.75,0.0,1.2,0.25,0.25,0.0,0.5,0.01
57,0.5,0.5,0.5,0.25,0.25,1.4,0.0,0.5,0.75,0.25,0.02
58,0.75,0.75,0.5,0.5,0.0,3.6,0.0,0.5,0.25,0.0,0.02
59,0.5,0.0,0.5,0.5,0.5,3.4000000000000004,0.25,0.5,0.25,0.5,0.03
60,1.25,0.0,0.0,0.5,0.0,2.4000000000000004,0.5,0.25,0.0,0.75,0.03
61,0.0,0.5,0.25,0.75,0.25,3.0,0.25,0.75,0.25,0.5,0.08
62,0.25,0.75,0.5,0.75,0.5,2.8,0.5,0.0,0.0,0.0,0.21
63,0.75,0.5,0.75,0.5,0.0,1.0,0.25,0.75,0.5,0.0,0.0
64,0.25,0.0,0.25,0.75,0.25,3.0,0.25,0.5,0.25,0.5,0.05
65,0.0,1.0,0.0,0.0,1.0,2.4000000000000004,0.0,0.25,0.75,0.75,0.39
66,0.5,0.5,0.25,0.75,0.0,2.8,0.5,0.25,0.0,0.25,0.12
67,0.75,0.25,0.25,0.5,0.0,3.8000000000000003,0.25,0.25,0.25,0.75,0.06
68,0.0,0.75,0.5,0.0,0.0,2.0,0.25,0.75,0.75,0.25,0.0
69,0.25,0.0,0.75,0.5,0.5,3.4000000000000004,0.0,0.5,0.5,0.5,0.02
70,0.75,0.25,0.0,0.25,0.5,4.4,0.5,0.25,0.25,0.5,0.15
71,0.25,0.5,0.0,0.5,0.0,4.800000000000001,0.0,0.0,0.5,1.0,1.2
72,0.25,0.0,0.0,0.0,0.75,2.4000000000000004,1.25,0.25,0.75,0.0,0.1
73,0.25,0.75,0.5,0.25,0.75,2.2,0.0,0.25,0.5,0.5,0.09
74,0.25,0.25,0.5,0.25,0.0,4.6,0.25,0.5,0.5,0.5,0.01
75,0.25,0.75,0.0,0.75,0.5,2.2,0.5,0.25,0.5,0.25,0.6
76,0.5,0.0,0.0,1.0,0.0,2.2,0.75,0.5,0.5,0.0,0.05
77,0.5,0.75,0.5,0.5,0.25,2.4000000000000004,0.0,0.25,0.0,0.25,0.07
78,0.0,0.75,0.5,0.0,0.5,2.0,0.5,0.25,0.25,0.75,0.07
79,0.5,0.75,0.25,0.25,0.5,3.4000000000000004,0.25,0.0,0.75,0.25,0.17
80,0.0,0.5,0.25,0.5,0.0,2.0,0.75,0.5,0.25,0.75,0.03
81,0.25,0.0,0.0,0.5,0.5,3.8000000000000003,0.25,0.5,0.25,0.5,0.14
82,0.75,0.25,1.0,0.5,0.25,1.8,0.25,0.5,0.0,0.25,0.01
83,0.25,0.0,0.5,0.25,1.0,3.0,0.0,0.0,0.5,0.75,0.04
84,0.25,0.25,0.5,0.5,0.5,4.4,0.0,0.0,0.75,0.5,0.04
85,0.75,0.5,0.25,0.75,0.5,2.6,0.25,0.25,0.0,0.0,0.1
86,0.5,0.5,0.75,0.5,0.0,3.6,0.0,0.5,0.0,0.25,0.01
87,0.5,0.25,0.5,0.0,0.25,2.4000000000000004,0.75,0.5,0.5,0.5,0.03
88,0.0,0.75,0.5,0.5,0.25,2.0,0.5,0.25,0.0,0.75,0.08
89,0.5,0.0,0.25,0.75,0.25,1.0,0.75,0.5,0.25,0.75,0.02
90,0.5,0.25,0.0,1.0,0.0,4.0,0.0,0.75,0.0,0.75,0.19
91,0.0,0.5,0.25,0.5,0.5,3.2,0.25,0.5,0.5,0.5,0.07
92,0.25,0.75,0.5,0.0,0.0,4.2,0.0,0.5,0.25,0.75,0.02
