iteration,tilt,azimuth,system_capacity,dc_ac_ratio,target,hypothesis
1,39.280123774294466,195.1157155517314,19.19972781969097,1.4167600000699094,2.62,Optimized High-Performance Settings
2,27.37351107647727,200.15425381205347,14.765953909250793,1.222346629515683,2.24,Optimal Solar Panel Configuration
3,18.560285680842888,205.23133033269758,11.64893144898849,1.1335198884072302,1.88,Balanced Solar Energy Configuration
4,30.46689837866008,215.19279207237554,17.54303505244161,1.3279332589614565,2.22,Enhanced Solar Panel Setup
5,6.867746043656146,280.77076520644124,9.329775397376977,1.3617325889154706,1.08,Global
6,50.06697943602639,222.8178067318155,18.3202328188013,1.3426760752973945,2.34,Enhanced Solar Panel Setup
7,32.45921590190677,191.07016137127192,15.253048616390899,1.1534104087930415,2.48,Optimal Solar Panel Configuration
8,74.24477349870784,156.88292615159628,20.0,1.0,3.14,Global
9,62.819142269026685,105.37333457353455,20.0,1.5,1.54,Global
10,90.0,178.80793102246852,1.0,1.0,1.91,Global
11,52.34915925623396,158.67269257618887,20.0,1.5,2.71,Global
12,90.0,143.2906144000714,20.0,1.5,2.21,Global
13,67.4462807273298,173.88390237740643,20.0,1.0,3.37,Global
14,0.0,0.0,1.0,1.0,0.95,Global
15,90.0,360.0,20.0,1.0,0.03,Global
16,90.0,0.0,20.0,1.5,0.03,Global
17,0.0,100.73809827033875,1.0,1.0,0.95,Global
18,0.0,360.0,1.0,1.5,0.95,Global
19,35.8241782582859,150.01678454081954,15.720444638895028,1.227543466317574,2.37,Optimal Solar Panel Configuration
20,47.68356965575194,202.24128729692535,19.625780782700513,1.3957486429685528,2.7,Optimized High-Performance Settings
21,78.46340196383298,188.37169661416812,20.0,1.0,3.29,Global
22,90.0,251.5933227435,20.0,1.0,1.53,Global
23,80.82704141063057,173.09336959188636,20.0,1.5,2.82,Global
24,60.37295547430739,187.91966413277493,1.0,1.0,2.03,Global
25,90.0,209.78029500459792,20.0,1.0,2.73,Global
26,22.852887997739344,219.59474054699598,14.712155281553947,1.1629532964084386,1.99,Balanced Solar Energy Configuration
27,37.01643902960957,205.76848099437132,11.957553688546982,1.0464764155542077,2.35,Balanced Solar Energy Configuration
28,0.0,159.5985886341921,20.0,1.0,1.57,Global
29,66.96377841107008,191.2418839054307,20.0,1.0,3.33,Global
30,66.20279017708803,143.19742752361077,1.0,1.0,1.74,Global
31,74.4448196910042,201.07561166349282,20.0,1.0,3.16,Global
32,60.42559619558303,180.04976247061265,20.0,1.0,3.37,Global
33,90.0,67.71326142740321,1.0,1.0,0.28,Global
34,68.13819835029305,182.53326982487317,20.0,1.5,2.9,Global
35,68.271946999258,298.27172308908195,1.0,1.5,0.25,Global
36,22.869528252290763,49.58435208806889,20.0,1.5,0.67,Global
37,90.0,192.75463796033299,20.0,1.0,3.07,Global
38,45.27326433765077,157.68026061501416,19.213259214583356,1.3792163803567956,2.67,Optimized High-Performance Settings
